n, wstawiamy, wybieranie, scalanie, szybkie, szybkie losowe, zliczanie
1000, 0.000909, 0.001634, 0.000222, 0.000118, 0.000136, 0.000023
1100, 0.001079, 0.001983, 0.000268, 0.000174, 0.000215, 0.000035
1200, 0.001306, 0.002314, 0.000252, 0.000148, 0.000162, 0.000027
1300, 0.001485, 0.002710, 0.000273, 0.000158, 0.000184, 0.000028
1400, 0.001720, 0.003133, 0.000300, 0.000168, 0.000195, 0.000032
1500, 0.001997, 0.003587, 0.000321, 0.000184, 0.000211, 0.000033
1600, 0.002229, 0.004078, 0.000348, 0.000197, 0.000228, 0.000035
1700, 0.002535, 0.004595, 0.000368, 0.000217, 0.000240, 0.000038
1800, 0.002938, 0.005154, 0.000391, 0.000231, 0.000262, 0.000041
1900, 0.003096, 0.005726, 0.000414, 0.000242, 0.000269, 0.000045
2000, 0.003577, 0.006449, 0.000442, 0.000254, 0.000289, 0.000045
2100, 0.003800, 0.006982, 0.000472, 0.000264, 0.000303, 0.000046
2200, 0.004344, 0.007676, 0.000480, 0.000286, 0.000318, 0.000050
2300, 0.004667, 0.008360, 0.000501, 0.000296, 0.000333, 0.000052
2400, 0.005240, 0.009097, 0.000537, 0.000310, 0.000349, 0.000054
2500, 0.005715, 0.009861, 0.000584, 0.000320, 0.000364, 0.000058
2600, 0.005884, 0.010682, 0.000613, 0.000395, 0.000440, 0.000063
2700, 0.007122, 0.012719, 0.000604, 0.000353, 0.000409, 0.000060
2800, 0.006892, 0.012537, 0.000627, 0.000375, 0.000419, 0.000062
2900, 0.007469, 0.013490, 0.000663, 0.000385, 0.000428, 0.000065
3000, 0.007941, 0.014343, 0.000685, 0.000398, 0.000448, 0.000071
3100, 0.008420, 0.015305, 0.000704, 0.000408, 0.000463, 0.000069
3200, 0.008956, 0.016340, 0.000728, 0.000428, 0.000478, 0.000074
3300, 0.009655, 0.017372, 0.000762, 0.000439, 0.000498, 0.000073
3400, 0.010422, 0.018371, 0.000793, 0.000453, 0.000513, 0.000077
3500, 0.010825, 0.020343, 0.000909, 0.000534, 0.000603, 0.000079
3600, 0.011622, 0.020533, 0.000829, 0.000494, 0.000543, 0.000081
3700, 0.012190, 0.021832, 0.000873, 0.000512, 0.000583, 0.000084
3800, 0.012915, 0.022860, 0.000891, 0.000515, 0.000587, 0.000085
3900, 0.013634, 0.024073, 0.000917, 0.000537, 0.000593, 0.000087
4000, 0.013988, 0.025294, 0.000942, 0.000548, 0.000599, 0.000091
4100, 0.015167, 0.026557, 0.000944, 0.000565, 0.000625, 0.000098
4200, 0.015708, 0.027972, 0.000976, 0.000576, 0.000649, 0.000095
4300, 0.016378, 0.029150, 0.001020, 0.000589, 0.000669, 0.000096
4400, 0.017271, 0.030688, 0.001031, 0.000613, 0.000662, 0.000102
4500, 0.017891, 0.031861, 0.001074, 0.000627, 0.000692, 0.000101
4600, 0.018916, 0.033200, 0.001086, 0.000637, 0.000705, 0.000109
4700, 0.019759, 0.034701, 0.001123, 0.000647, 0.000754, 0.000111
4800, 0.020915, 0.036034, 0.001135, 0.000661, 0.000743, 0.000111
4900, 0.021597, 0.042044, 0.001303, 0.000778, 0.000864, 0.000130
5000, 0.022460, 0.039104, 0.001190, 0.000693, 0.000783, 0.000114
5100, 0.022685, 0.040641, 0.001203, 0.000724, 0.000800, 0.000118
5200, 0.024130, 0.042281, 0.001237, 0.000719, 0.000809, 0.000117
5300, 0.024429, 0.044141, 0.001269, 0.000743, 0.000833, 0.000119
5400, 0.026400, 0.045581, 0.001289, 0.000767, 0.000864, 0.000122
5500, 0.027051, 0.051512, 0.001499, 0.000887, 0.000975, 0.000140
5600, 0.028060, 0.049149, 0.001361, 0.000785, 0.000874, 0.000127
5700, 0.028706, 0.050804, 0.001396, 0.000809, 0.000894, 0.000128
5800, 0.029831, 0.052609, 0.001622, 0.000830, 0.000922, 0.000135
5900, 0.032621, 0.054435, 0.001432, 0.000841, 0.000927, 0.000136
6000, 0.032382, 0.062828, 0.001626, 0.000954, 0.001079, 0.000152
6100, 0.032844, 0.058400, 0.001649, 0.001017, 0.001100, 0.000154
6200, 0.033687, 0.060046, 0.001514, 0.000936, 0.000965, 0.000153
6300, 0.035219, 0.061990, 0.001555, 0.000919, 0.000999, 0.000143
6400, 0.036602, 0.064002, 0.001577, 0.000917, 0.001007, 0.000148
6500, 0.038191, 0.066147, 0.001581, 0.000932, 0.001061, 0.000146
6600, 0.038979, 0.068110, 0.001624, 0.000979, 0.001087, 0.000151
6700, 0.039416, 0.070341, 0.001655, 0.000956, 0.001056, 0.000153
6800, 0.041404, 0.074598, 0.001919, 0.001121, 0.001210, 0.000175
6900, 0.043317, 0.077483, 0.001705, 0.001005, 0.001112, 0.000161
7000, 0.043792, 0.076689, 0.001728, 0.001017, 0.001129, 0.000157
7100, 0.045057, 0.078822, 0.001746, 0.001059, 0.001156, 0.000165
7200, 0.045380, 0.080945, 0.001770, 0.001045, 0.001165, 0.000166
7300, 0.047008, 0.086757, 0.002074, 0.001192, 0.001323, 0.000187
7400, 0.048898, 0.085511, 0.001855, 0.001082, 0.001174, 0.000170
7500, 0.049809, 0.087792, 0.001883, 0.001080, 0.001226, 0.000174
7600, 0.050938, 0.093697, 0.001906, 0.001132, 0.001249, 0.000175
7700, 0.052409, 0.092861, 0.001930, 0.001147, 0.001234, 0.000177
7800, 0.054407, 0.095063, 0.002224, 0.001314, 0.001409, 0.000204
7900, 0.055416, 0.097842, 0.001981, 0.001163, 0.001308, 0.000182
8000, 0.056478, 0.102158, 0.002265, 0.001312, 0.001475, 0.000207
8100, 0.058126, 0.102479, 0.002025, 0.001196, 0.001364, 0.000184
8200, 0.059629, 0.107299, 0.002080, 0.001205, 0.001334, 0.000189
8300, 0.061230, 0.107372, 0.002091, 0.001242, 0.001352, 0.000192
8400, 0.062225, 0.110065, 0.002121, 0.001225, 0.001366, 0.000188
8500, 0.075772, 0.117721, 0.002146, 0.001253, 0.001382, 0.000196
8600, 0.065286, 0.118584, 0.002429, 0.001469, 0.001569, 0.000218
8700, 0.066971, 0.118103, 0.002206, 0.001255, 0.001448, 0.000199
8800, 0.069713, 0.120812, 0.002236, 0.001295, 0.001435, 0.000202
8900, 0.071231, 0.123701, 0.002258, 0.001318, 0.001429, 0.000205
9000, 0.071911, 0.126425, 0.002315, 0.001341, 0.001491, 0.000207
