n, wstawiamy, wybieranie, scalanie, szybkie, szybkie losowe, zliczanie
1000, 0.001787, 0.001496, 0.000137, 0.002113, 0.000102, 0.000023
1100, 0.002130, 0.001802, 0.000155, 0.002541, 0.000112, 0.000028
1200, 0.002532, 0.002178, 0.000168, 0.003583, 0.000128, 0.000029
1300, 0.003095, 0.002513, 0.000186, 0.003569, 0.000133, 0.000030
1400, 0.003443, 0.002911, 0.000201, 0.004077, 0.000199, 0.000065
1500, 0.004194, 0.003435, 0.000221, 0.004680, 0.000162, 0.000034
1600, 0.004707, 0.003974, 0.000237, 0.005320, 0.000168, 0.000037
1700, 0.005412, 0.005105, 0.000280, 0.006815, 0.000218, 0.000043
1800, 0.005802, 0.004816, 0.000263, 0.006765, 0.000197, 0.000042
1900, 0.006843, 0.005469, 0.000279, 0.007814, 0.000210, 0.000047
2000, 0.007023, 0.006087, 0.000302, 0.008312, 0.000223, 0.000044
2100, 0.007889, 0.006828, 0.000352, 0.009290, 0.000228, 0.000048
2200, 0.008519, 0.007160, 0.000325, 0.010015, 0.000243, 0.000049
2300, 0.009556, 0.008021, 0.000346, 0.011022, 0.000257, 0.000061
2400, 0.010188, 0.008683, 0.000369, 0.011916, 0.000264, 0.000058
2500, 0.011021, 0.009238, 0.000378, 0.013333, 0.000274, 0.000061
2600, 0.011900, 0.009991, 0.000391, 0.013997, 0.000278, 0.000060
2700, 0.012943, 0.010770, 0.000424, 0.015068, 0.000305, 0.000061
2800, 0.014012, 0.011578, 0.000434, 0.016409, 0.000306, 0.000061
2900, 0.014938, 0.012446, 0.000580, 0.017406, 0.000328, 0.000073
3000, 0.015773, 0.013322, 0.000468, 0.018671, 0.000331, 0.000069
3100, 0.016851, 0.014321, 0.000468, 0.019880, 0.000347, 0.000072
3200, 0.018028, 0.015114, 0.000504, 0.021190, 0.000368, 0.000071
3300, 0.019188, 0.016071, 0.000512, 0.022549, 0.000367, 0.000072
3400, 0.020439, 0.017147, 0.000532, 0.025960, 0.000424, 0.000086
3500, 0.021460, 0.018098, 0.000546, 0.025270, 0.000403, 0.000077
