n, wstawiamy, wybieranie, scalanie, szybkie, szybkie losowe, zliczanie
1000, 0.000005, 0.001565, 0.000141, 0.002646, 0.000105, 0.000022
1100, 0.000008, 0.002179, 0.000159, 0.003174, 0.000110, 0.000024
1200, 0.000006, 0.002247, 0.000173, 0.003750, 0.000119, 0.000027
1300, 0.000006, 0.002635, 0.000188, 0.004375, 0.000126, 0.000029
1400, 0.000007, 0.003054, 0.000206, 0.005200, 0.000144, 0.000036
1500, 0.000007, 0.003505, 0.000216, 0.005854, 0.000149, 0.000033
1600, 0.000008, 0.003984, 0.000229, 0.006994, 0.000193, 0.000036
1700, 0.000008, 0.004496, 0.000251, 0.007630, 0.000176, 0.000039
1800, 0.000009, 0.005044, 0.000264, 0.009282, 0.000208, 0.000046
1900, 0.000009, 0.005613, 0.000282, 0.009542, 0.000192, 0.000043
2000, 0.000009, 0.006297, 0.000331, 0.010392, 0.000205, 0.000045
2100, 0.000010, 0.007050, 0.000309, 0.011377, 0.000210, 0.000046
2200, 0.000011, 0.007714, 0.000331, 0.012563, 0.000224, 0.000052
2300, 0.000010, 0.008539, 0.000382, 0.013656, 0.000257, 0.000051
2400, 0.000012, 0.009166, 0.000368, 0.014875, 0.000256, 0.000054
2500, 0.000012, 0.009860, 0.000379, 0.016234, 0.000259, 0.000057
2600, 0.000012, 0.010578, 0.000397, 0.017860, 0.000301, 0.000065
2700, 0.000013, 0.011371, 0.000418, 0.018915, 0.000287, 0.000061
2800, 0.000014, 0.012190, 0.000425, 0.020336, 0.000296, 0.000062
2900, 0.000014, 0.013126, 0.000440, 0.021804, 0.000305, 0.000066
3000, 0.000014, 0.013993, 0.000463, 0.023242, 0.000321, 0.000069
3100, 0.000014, 0.014942, 0.000470, 0.026717, 0.000365, 0.000078
3200, 0.000015, 0.015961, 0.000506, 0.026371, 0.000337, 0.000071
3300, 0.000016, 0.016940, 0.000531, 0.028078, 0.000340, 0.000074
3400, 0.000016, 0.017957, 0.000531, 0.029978, 0.000351, 0.000076
3500, 0.000017, 0.019021, 0.000541, 0.031572, 0.000375, 0.000081
3600, 0.000017, 0.020123, 0.000563, 0.033656, 0.000409, 0.000080
3700, 0.000018, 0.021226, 0.000585, 0.035295, 0.000394, 0.000087
3800, 0.000018, 0.024303, 0.000676, 0.041819, 0.000444, 0.000096
3900, 0.000019, 0.023581, 0.000610, 0.039288, 0.000456, 0.000090
4000, 0.000019, 0.024829, 0.000639, 0.041324, 0.000439, 0.000088
4100, 0.000020, 0.026085, 0.000632, 0.043343, 0.000442, 0.000094
4200, 0.000020, 0.027340, 0.000650, 0.045716, 0.000448, 0.000094
4300, 0.000020, 0.031246, 0.000777, 0.049488, 0.000492, 0.000097
4400, 0.000021, 0.030080, 0.000689, 0.049832, 0.000499, 0.000099
4500, 0.000021, 0.031433, 0.000728, 0.057972, 0.000565, 0.000113
4600, 0.000021, 0.032995, 0.000726, 0.054549, 0.000511, 0.000102
4700, 0.000023, 0.035814, 0.000861, 0.062046, 0.000500, 0.000108
4800, 0.000023, 0.035965, 0.000782, 0.059399, 0.000532, 0.000107
4900, 0.000026, 0.039864, 0.000798, 0.067013, 0.000609, 0.000123
5000, 0.000024, 0.038812, 0.000810, 0.064400, 0.000526, 0.000120
5100, 0.000024, 0.040399, 0.000825, 0.067090, 0.000558, 0.000114
5200, 0.000025, 0.044932, 0.000961, 0.075966, 0.000551, 0.000117
5300, 0.000026, 0.043514, 0.000866, 0.072470, 0.000567, 0.000117
5400, 0.000026, 0.045795, 0.000890, 0.078907, 0.000620, 0.000122
5500, 0.000030, 0.052721, 0.001017, 0.079104, 0.000619, 0.000124
5600, 0.000026, 0.048598, 0.000906, 0.086859, 0.000712, 0.000140
5700, 0.000027, 0.050404, 0.000937, 0.083759, 0.000649, 0.000128
5800, 0.000027, 0.052354, 0.000952, 0.086752, 0.000633, 0.000129
5900, 0.000028, 0.053990, 0.000957, 0.089621, 0.000645, 0.000132
6000, 0.000032, 0.060503, 0.000970, 0.093002, 0.000664, 0.000137
6100, 0.000032, 0.062555, 0.001003, 0.095931, 0.000719, 0.000140
6200, 0.000030, 0.062610, 0.001141, 0.105580, 0.000662, 0.000139
6300, 0.000029, 0.061819, 0.001146, 0.106505, 0.000721, 0.000141
6400, 0.000031, 0.063563, 0.001039, 0.106419, 0.000716, 0.000146
6500, 0.000031, 0.065476, 0.001081, 0.109897, 0.000749, 0.000147
6600, 0.000031, 0.068439, 0.001247, 0.112267, 0.000728, 0.000148
6700, 0.000032, 0.072128, 0.001119, 0.115601, 0.000747, 0.000153
6800, 0.000038, 0.080565, 0.001253, 0.119583, 0.000763, 0.000153
6900, 0.000033, 0.073841, 0.001134, 0.122658, 0.000755, 0.000154
7000, 0.000033, 0.076147, 0.001178, 0.126193, 0.000789, 0.000157
7100, 0.000033, 0.078143, 0.001185, 0.129776, 0.000780, 0.000158
7200, 0.000034, 0.080406, 0.001228, 0.142554, 0.000809, 0.000166
7300, 0.000039, 0.090192, 0.001200, 0.139057, 0.000892, 0.000162
7400, 0.000035, 0.084978, 0.001217, 0.141010, 0.000815, 0.000169
7500, 0.000036, 0.087332, 0.001256, 0.156387, 0.000829, 0.000171
7600, 0.000036, 0.089648, 0.001269, 0.148847, 0.000862, 0.000171
7700, 0.000037, 0.092095, 0.001285, 0.156048, 0.000970, 0.000195
7800, 0.000042, 0.094610, 0.001305, 0.156581, 0.000881, 0.000179
7900, 0.000037, 0.096808, 0.001329, 0.161505, 0.000996, 0.000200
8000, 0.000043, 0.105928, 0.001353, 0.164844, 0.000867, 0.000179
8100, 0.000038, 0.101815, 0.001397, 0.178430, 0.001020, 0.000204
8200, 0.000038, 0.104260, 0.001384, 0.172982, 0.000913, 0.000185
8300, 0.000040, 0.111609, 0.001432, 0.177299, 0.000974, 0.000184
8400, 0.000039, 0.109348, 0.001416, 0.182389, 0.000926, 0.000191
8500, 0.000040, 0.112161, 0.001414, 0.186609, 0.000980, 0.000189
8600, 0.000046, 0.122283, 0.001470, 0.190451, 0.000965, 0.000193
8700, 0.000042, 0.123817, 0.001670, 0.199794, 0.000965, 0.000191
8800, 0.000042, 0.120248, 0.001499, 0.203980, 0.001011, 0.000195
8900, 0.000042, 0.123260, 0.002124, 0.235801, 0.000983, 0.000198
9000, 0.000043, 0.125612, 0.001559, 0.212377, 0.001029, 0.000203
9100, 0.000043, 0.128583, 0.001548, 0.224616, 0.001062, 0.000204
9200, 0.000044, 0.131491, 0.001574, 0.220228, 0.001016, 0.000204
9300, 0.000044, 0.134190, 0.001589, 0.227430, 0.001047, 0.000206
9400, 0.000044, 0.141761, 0.001815, 0.233846, 0.001072, 0.000209
9500, 0.000045, 0.142841, 0.001633, 0.232900, 0.001059, 0.000209
9600, 0.000047, 0.143365, 0.001659, 0.236847, 0.001044, 0.000216
9700, 0.000046, 0.145902, 0.001668, 0.245899, 0.001136, 0.000215
9800, 0.000047, 0.152718, 0.001900, 0.254621, 0.001126, 0.000217
9900, 0.000053, 0.153518, 0.001705, 0.252826, 0.001131, 0.000222
