n, wstawiamy, wybieranie, scalanie
100, 75, 117, 86
200, 283, 433, 174
300, 618, 965, 275
400, 1103, 1688, 374
500, 1312, 653, 117
600, 598, 932, 144
700, 844, 1266, 170
800, 1068, 1646, 199
900, 1340, 2074, 226
1000, 1700, 2554, 252
1100, 2120, 3084, 281
1200, 2503, 3678, 310
1300, 2934, 4311, 341
1400, 3262, 4984, 365
1500, 3838, 5712, 393
1600, 4324, 6496, 426
1700, 4725, 7351, 459
1800, 5468, 8250, 478
1900, 5979, 9153, 507
2000, 6787, 10158, 530
2100, 7408, 11177, 575
2200, 8001, 12282, 604
2300, 8759, 13401, 632
2400, 9685, 14575, 655
2500, 10360, 15824, 684
2600, 11402, 17100, 717
2700, 12220, 18447, 756
2800, 13222, 19820, 772
2900, 13935, 21268, 803
3000, 15202, 22760, 833
3100, 15971, 24298, 861
3200, 17011, 25852, 894
3300, 17914, 27566, 943
3400, 19137, 29264, 968
3500, 20377, 30945, 985
3600, 21767, 32704, 1019
3700, 23221, 34611, 1060
3800, 23777, 36501, 1077
3900, 24730, 38469, 1114
4000, 26363, 40445, 1140
4100, 28285, 42376, 1152
4200, 29589, 44550, 1211
4300, 30436, 46714, 1238
4400, 32132, 48822, 1256
4500, 33577, 51134, 1309
4600, 34906, 53382, 1322
4700, 37259, 55816, 1369
4800, 38357, 58221, 1395
4900, 39380, 60573, 1423
