n, wstawiamy, wybieranie, scalanie
1000, 0, 0, 0
3000, 0, 0, 0
5000, 0, 0, 0
7000, 1, 0, 0
9000, 0, 1, 0
11000, 0, 0, 0
13000, 0, 1, 0
15000, 0, 1, 0
17000, 0, 1, 0
19000, 1, 1, 0
21000, 0, 1, 0
23000, 1, 2, 0
25000, 1, 1, 0
27000, 1, 2, 0
29000, 2, 2, 0
31000, 1, 3, 0
33000, 2, 2, 0
35000, 2, 4, 0
37000, 2, 3, 0
39000, 3, 4, 0
41000, 3, 4, 0
43000, 3, 5, 0
45000, 3, 5, 0
47000, 4, 5, 0
49000, 4, 6, 0
51000, 5, 6, 0
53000, 5, 7, 0
55000, 5, 8, 0
57000, 5, 8, 0
59000, 6, 9, 0
61000, 6, 10, 0
63000, 6, 10, 0
65000, 7, 11, 0
67000, 7, 12, 0
69000, 8, 12, 0
71000, 8, 13, 0
73000, 9, 13, 0
75000, 10, 14, 0
77000, 10, 15, 0
79000, 10, 16, 0
81000, 11, 16, 0
83000, 12, 17, 0
85000, 12, 18, 0
87000, 13, 19, 0
89000, 13, 20, 0
91000, 14, 21, 0
93000, 14, 22, 0
95000, 15, 23, 0
97000, 16, 23, 0
99000, 17, 24, 1
